fips,usdm_current_category,usdm_current_score,usdm_pct_d0_plus,usdm_pct_d2_plus,drought_frequency_score,usdm_peak_drought_d3d4_pct,usdm_as_of
01001,D1,39.1,147.7,0.0,,,20260915
01003,D1,32.2,130.6,0.0,,,20260915
01005,D0,20.0,100.0,0.0,,,20260915
01007,D2,69.5,215.8,15.8,,,20260915
01009,None,0.0,0.0,0.0,,,20260915
01011,D0,20.0,100.0,0.0,,,20260915
01013,D1,54.7,183.4,6.8,,,20260915
01015,None,0.0,0.0,0.0,,,20260915
01017,D0,21.0,102.5,0.0,,,20260915
01019,D0,19.4,96.8,0.0,,,20260915
01021,D1,50.8,177.1,0.0,,,20260915
01023,D1,37.4,143.6,0.0,,,20260915
01025,D1,60.0,200.0,0.0,,,20260915
01027,D0,18.6,93.0,0.0,,,20260915
01029,None,0.2,1.0,0.0,,,20260915
01031,D1,55.3,188.4,0.0,,,20260915
01033,D0,19.8,99.2,0.0,,,20260915
01035,D2,67.6,212.6,12.6,,,20260915
01037,D0,20.0,100.0,0.0,,,20260915
01039,D1,57.2,188.2,9.9,,,20260915
01041,D1,38.7,146.7,0.0,,,20260915
01043,None,0.0,0.0,0.0,,,20260915
01045,D1,30.0,125.1,0.0,,,20260915
01047,D2,52.2,172.1,16.6,,,20260915
01049,D0,18.1,90.7,0.0,,,20260915
01051,D0,20.0,100.0,0.0,,,20260915
01053,D1,58.9,197.3,0.0,,,20260915
01055,None,1.0,5.0,0.0,,,20260915
01057,D1,48.9,172.2,0.0,,,20260915
01059,D0,18.7,93.5,0.0,,,20260915
01061,D1,38.0,144.9,0.0,,,20260915
01063,D2,77.3,227.1,32.3,,,20260915
01065,D2,119.7,299.5,99.5,,,20260915
01067,D0,20.0,100.0,0.0,,,20260915
01069,D0,22.6,106.6,0.0,,,20260915
01071,D0,19.6,98.1,0.0,,,20260915
01073,D0,14.6,66.5,0.0,,,20260915
01075,D1,38.4,146.1,0.0,,,20260915
01077,D0,20.0,100.0,0.0,,,20260915
01079,None,1.5,7.7,0.0,,,20260915
01081,D0,20.0,100.0,0.0,,,20260915
01083,D0,13.9,69.4,0.0,,,20260915
01085,D0,20.7,101.8,0.0,,,20260915
01087,D0,20.0,100.0,0.0,,,20260915
01089,D0,12.3,61.6,0.0,,,20260915
01091,D1,64.8,207.5,8.9,,,20260915
01093,D0,23.4,108.6,0.0,,,20260915
01095,None,0.7,3.7,0.0,,,20260915
01097,D1,42.9,157.2,0.0,,,20260915
01099,D1,60.0,200.0,0.0,,,20260915
01101,D0,20.0,100.0,0.0,,,20260915
01103,None,0.0,0.0,0.0,,,20260915
01105,D2,106.5,277.5,77.5,,,20260915
01107,D1,47.2,168.1,0.0,,,20260915
01109,D0,20.5,101.3,0.0,,,20260915
01111,D1,18.0,79.2,0.0,,,20260915
01113,D0,20.0,100.0,0.0,,,20260915
01115,D0,3.0,14.8,0.0,,,20260915
01117,D1,29.0,122.6,0.0,,,20260915
01119,D1,25.1,112.4,0.4,,,20260915
01121,D0,15.7,78.5,0.0,,,20260915
01123,D0,20.0,100.0,0.0,,,20260915
01125,D1,58.4,194.3,3.2,,,20260915
01127,D0,7.7,38.3,0.0,,,20260915
01129,D1,60.0,200.0,0.0,,,20260915
01131,D2,82.5,237.5,37.8,,,20260915
01133,D0,3.7,18.5,0.0,,,20260915
02013,None,0.0,0.0,0.0,,,20260915
02016,None,0.0,0.0,0.0,,,20260915
02020,None,0.0,0.0,0.0,,,20260915
02050,None,0.0,0.0,0.0,,,20260915
02060,None,0.0,0.0,0.0,,,20260915
02063,None,0.0,0.0,0.0,,,20260915
02066,D0,7.8,38.8,0.0,,,20260915
02068,None,0.0,0.0,0.0,,,20260915
02070,None,0.0,0.0,0.0,,,20260915
02090,None,0.0,0.0,0.0,,,20260915
02100,D0,20.0,100.0,0.0,,,20260915
02105,D0,20.0,100.0,0.0,,,20260915
02110,D0,20.0,100.0,0.0,,,20260915
02122,None,0.0,0.0,0.0,,,20260915
02130,D0,21.3,103.2,0.0,,,20260915
02150,None,0.0,0.0,0.0,,,20260915
02158,None,0.0,0.0,0.0,,,20260915
02164,None,0.0,0.0,0.0,,,20260915
02170,None,0.0,0.0,0.0,,,20260915
02180,None,0.0,0.0,0.0,,,20260915
02185,None,0.0,0.0,0.0,,,20260915
02188,None,0.0,0.0,0.0,,,20260915
02195,D0,20.0,100.0,0.0,,,20260915
02198,D1,46.6,166.6,0.0,,,20260915
02220,D0,20.0,100.0,0.0,,,20260915
02230,D0,20.0,100.0,0.0,,,20260915
02240,D0,7.0,34.9,0.0,,,20260915
02275,D0,23.0,107.5,0.0,,,20260915
02282,D0,6.4,31.9,0.0,,,20260915
02290,None,0.0,0.0,0.0,,,20260915
04001,D2,100.2,266.9,66.9,,,20260915
04003,D0,3.3,16.4,0.0,,,20260915
04005,D2,74.7,215.0,43.6,,,20260915
04007,D2,66.8,207.8,18.5,,,20260915
04009,D2,56.4,177.9,23.6,,,20260915
04011,D2,98.0,261.9,66.2,,,20260915
04012,D1,60.2,200.3,0.3,,,20260915
04013,D3,125.8,302.8,102.8,,,20260915
04015,D2,76.1,225.7,29.2,,,20260915
04017,D2,82.2,233.0,45.1,,,20260915
04019,D2,65.5,186.3,39.6,,,20260915
04021,D2,74.5,220.0,29.3,,,20260915
04023,D0,2.2,11.2,0.0,,,20260915
04025,D1,41.1,148.1,9.5,,,20260915
04027,D1,60.4,200.7,0.7,,,20260915
05001,D2,120.0,300.0,100.0,,,20260915
05003,D3,127.8,303.2,103.2,,,20260915
05005,D0,22.6,106.4,0.0,,,20260915
05007,D4,242.9,442.7,242.7,,,20260915
05009,D1,32.8,131.0,1.9,,,20260915
05011,D3,158.0,347.6,147.6,,,20260915
05013,D2,118.9,298.1,98.1,,,20260915
05015,D2,104.7,274.6,74.5,,,20260915
05017,D4,181.4,368.9,168.9,,,20260915
05019,D2,113.1,288.5,88.5,,,20260915
05021,D2,116.1,293.5,93.5,,,20260915
05023,D1,52.8,181.5,1.0,,,20260915
05025,D3,130.8,313.5,113.5,,,20260915
05027,D3,139.3,324.1,124.1,,,20260915
05029,D3,104.8,257.7,78.3,,,20260915
05031,D2,91.6,251.6,51.9,,,20260915
05033,D3,200.0,400.0,200.0,,,20260915
05035,D1,58.3,195.7,0.0,,,20260915
05037,D1,52.1,180.3,0.0,,,20260915
05039,D2,119.9,299.8,99.8,,,20260915
05041,D4,207.5,401.1,201.1,,,20260915
05043,D4,195.7,390.6,190.7,,,20260915
05045,D3,139.0,314.8,117.5,,,20260915
05047,D3,194.4,393.0,193.0,,,20260915
05049,D4,156.3,335.3,136.3,,,20260915
05051,D2,115.9,293.1,93.1,,,20260915
05053,D2,104.3,273.8,73.8,,,20260915
05055,D3,153.2,340.6,140.6,,,20260915
05057,D2,86.7,244.4,44.5,,,20260915
05059,D2,89.9,249.8,49.8,,,20260915
05061,D3,101.1,261.7,62.8,,,20260915
05063,D3,169.0,360.9,160.9,,,20260915
05065,D3,121.6,291.6,91.8,,,20260915
05067,D3,109.5,276.4,76.4,,,20260915
05069,D2,125.9,307.3,107.3,,,20260915
05071,D3,121.6,289.3,99.4,,,20260915
05073,D2,98.4,264.1,64.1,,,20260915
05075,D3,158.6,348.3,148.3,,,20260915
05077,D1,49.9,174.7,0.0,,,20260915
05079,D2,120.6,300.7,100.7,,,20260915
05081,D2,83.5,236.4,44.6,,,20260915
05083,D3,198.1,397.6,197.6,,,20260915
05085,D3,184.8,381.0,181.0,,,20260915
05087,D3,128.1,303.4,103.4,,,20260915
05089,D0,20.0,100.0,0.0,,,20260915
05091,D1,52.9,182.4,0.0,,,20260915
05093,D1,62.8,204.2,5.5,,,20260915
05095,D2,109.4,282.4,82.4,,,20260915
05097,D2,120.0,300.0,100.0,,,20260915
05099,D2,92.8,254.7,54.6,,,20260915
05101,D1,33.5,133.6,0.0,,,20260915
05103,D2,81.6,235.5,35.5,,,20260915
05105,D3,143.4,329.2,129.2,,,20260915
05107,D2,99.0,265.0,65.0,,,20260915
05109,D2,64.4,197.1,27.7,,,20260915
05111,D1,57.1,191.7,1.8,,,20260915
05113,D2,122.2,302.7,102.7,,,20260915
05115,D2,77.0,213.0,52.0,,,20260915
05117,D2,120.3,300.4,100.3,,,20260915
05119,D3,138.1,322.6,122.6,,,20260915
05121,D2,120.0,300.0,100.0,,,20260915
05123,D0,22.5,106.3,0.0,,,20260915
05125,D2,107.6,279.4,79.4,,,20260915
05127,D3,131.4,314.3,114.3,,,20260915
05129,D0,20.0,100.0,0.0,,,20260915
05131,D3,200.0,400.0,200.0,,,20260915
05133,D2,103.9,273.2,73.2,,,20260915
05135,D3,185.2,381.0,181.0,,,20260915
05137,D1,39.4,146.8,3.5,,,20260915
